"","day","country","daily.count"
"1",1,"Italy.daily",5
"2",2,"Italy.daily",1
"3",3,"Italy.daily",5
"4",4,"Italy.daily",4
"5",5,"Italy.daily",8
"6",6,"Italy.daily",6
"7",7,"Italy.daily",17
"8",8,"Italy.daily",28
"9",9,"Italy.daily",27
"10",10,"Italy.daily",41
"11",11,"Italy.daily",49
"12",12,"Italy.daily",36
"13",13,"Italy.daily",133
"14",14,"Italy.daily",98
"15",15,"Italy.daily",167
"16",16,"Italy.daily",196
"17",17,"Italy.daily",189
"18",18,"Italy.daily",252
"19",19,"Italy.daily",173
"20",20,"Italy.daily",370
"21",21,"Italy.daily",347
"22",22,"Italy.daily",347
"23",23,"Italy.daily",473
"24",24,"Italy.daily",429
"25",25,"Italy.daily",625
"26",26,"Italy.daily",795
"27",27,"Italy.daily",649
"28",28,"Italy.daily",601
"29",29,"Italy.daily",743
"30",30,"Italy.daily",685
"31",31,"Italy.daily",660
"32",32,"Italy.daily",971
"33",33,"Italy.daily",887
"34",34,"Italy.daily",758
"35",35,"Italy.daily",810
"36",1,"UK.daily",4
"38",3,"UK.daily",11
"39",4,"UK.daily",14
"40",5,"UK.daily",20
"41",6,"UK.daily",5
"42",7,"UK.daily",43
"43",8,"UK.daily",41
"44",9,"UK.daily",33
"45",10,"UK.daily",56
"46",11,"UK.daily",48
"47",12,"UK.daily",54
"48",13,"UK.daily",87
"49",14,"UK.daily",41
"50",15,"UK.daily",115
"51",16,"UK.daily",181
"52",17,"UK.daily",260
"53",18,"UK.daily",209
"54",19,"UK.daily",180
